Number,Name,Gender,Birth,Breed,ZipCode,IssuedDate,ExpiredDate
283886,PRINCESS,F,2012,Beagle,10457,7/16/2018,7/16/2019
187857,JAKE,M,2006,Labrador Retriever Crossbreed,11365,9/15/2017,6/29/2018
215412,SHEBA,F,2015,Pug,11215,12/30/2016,12/30/2021
145555,BEAUTY,F,2012,Pomeranian,10454,2/24/2017,4/17/2017
239825,CHARLIE,F,2017,Yorkshire Terrier,10003,9/16/2017,9/16/2018
30528,BEAU,M,2006,Unknown,10022,12/21/2015,1/15/2017
32825,ONYX,M,2011,Rottweiler,11418,1/12/2016,1/12/2017
60428,KING,M,2014,Rottweiler Crossbreed,10466,6/7/2016,6/7/2017
77521,NORTON,M,2005,Yorkshire Terrier,10011,8/23/2016,9/29/2017
147035,DAKOTA,F,2016,Cavalier King Charles Spaniel,10069,3/4/2017,3/4/2018
105688,LILLY,F,2015,Shih Tzu Crossbreed,10455,1/7/2016,1/7/2017
93338,ROCKY,M,2013,Shih Tzu,10453,11/16/2016,11/16/2017
100900,TOOTO,M,2012,Labrador Retriever Crossbreed,10030,2/16/2015,2/12/2017
144626,DIESEL,M,2015,American Pit Bull Terrier/Pit Bull,11223,2/21/2017,2/21/2018
273204,LUCKY,M,2010,Shih Tzu,10003,5/10/2018,6/29/2019
248723,SHILOH,F,2010,Beagle,10038,12/15/2017,12/15/2018
96076,BLU,F,2015,American Staffordshire Terrier,11207,12/6/2016,12/6/2017
212809,LOUIS,M,2016,French Bulldog,10069,8/13/2016,8/13/2018
248822,MAHGEE,M,2005,Rat Terrier,10009,12/17/2017,12/17/2018
124034,COCO,M,2006,Yorkshire Terrier,11225,8/8/2016,8/8/2018
91534,MAMAZ,F,2008,American Pit Bull Mix / Pit Bull Mix,11224,11/6/2016,11/6/2017
291640,LISBON,F,2010,Portuguese Water Dog,11231,8/31/2018,10/15/2019
294658,LILY,F,2008,Golden Retriever,11104,9/19/2018,3/13/2019
160729,WEDNESDAY,F,2016,French Bulldog,10028,5/18/2017,5/18/2018
246515,DAISY,F,2005,Italian Greyhound,10075,11/26/2017,1/13/2019
283152,GUIMAUVE,F,2017,Goldendoodle,11364,7/11/2018,7/11/2019
234515,CHIPPEWA,F,2009,Labrador Retriever,11379,8/1/2017,6/28/2018
69312,ADI,F,2010,Boerboel,11220,7/17/2016,7/2/2017
26175,SABI,M,2005,Belgian Sheepdog,10028,10/30/2015,9/28/2017
242260,OPIE,M,2013,Doberman Pinscher,11230,10/11/2017,11/21/2018
188644,NINA,F,2010,American Pit Bull Terrier/Pit Bull,11233,9/19/2017,7/25/2018
